 ,Label,Area
82,2019-5-28_exp021#2:021_01_A1_1,18
83,2019-5-28_exp021#2:021_01_A1_1,9
84,2019-5-28_exp021#2:021_01_A1_1,19
85,2019-5-28_exp021#2:021_01_A1_1,11
86,2019-5-28_exp021#2:021_01_A1_1,33
87,2019-5-28_exp021#2:021_01_A1_1,2
88,2019-5-28_exp021#2:021_01_A1_1,12
89,2019-5-28_exp021#2:021_01_A1_1,35
90,2019-5-28_exp021#2:021_01_A1_1,40
91,2019-5-28_exp021#2:021_01_A1_1,9
92,2019-5-28_exp021#2:021_01_A1_1,12
93,2019-5-28_exp021#2:021_01_A1_1,32
94,2019-5-28_exp021#2:021_01_A1_1,123
95,2019-5-28_exp021#2:021_01_A1_1,211
96,2019-5-28_exp021#2:021_01_A1_1,18
97,2019-5-28_exp021#2:021_01_A1_1,1
98,2019-5-28_exp021#2:021_01_A1_1,12
99,2019-5-28_exp021#2:021_01_A1_1,1
100,2019-5-28_exp021#2:021_01_A1_1,42
101,2019-5-28_exp021#2:021_01_A1_1,26
102,2019-5-28_exp021#2:021_01_A1_1,88
103,2019-5-28_exp021#2:021_01_A1_1,1
104,2019-5-28_exp021#2:021_01_A1_1,1
105,2019-5-28_exp021#2:021_01_A1_1,2
106,2019-5-28_exp021#2:021_01_A1_1,31
107,2019-5-28_exp021#2:021_01_A1_1,6
108,2019-5-28_exp021#2:021_01_A1_1,44
109,2019-5-28_exp021#2:021_01_A1_1,1
110,2019-5-28_exp021#2:021_01_A1_1,16
111,2019-5-28_exp021#2:021_01_A1_1,9
112,2019-5-28_exp021#2:021_01_A1_1,32
113,2019-5-28_exp021#2:021_01_A1_1,114
114,2019-5-28_exp021#2:021_01_A1_1,6
115,2019-5-28_exp021#2:021_01_A1_1,2
116,2019-5-28_exp021#2:021_01_A1_1,12
117,2019-5-28_exp021#2:021_01_A1_1,13
118,2019-5-28_exp021#2:021_01_A1_1,22
119,2019-5-28_exp021#2:021_01_A1_1,66
120,2019-5-28_exp021#2:021_01_A1_1,16
121,2019-5-28_exp021#2:021_01_A1_1,20
122,2019-5-28_exp021#2:021_01_A1_1,11
123,2019-5-28_exp021#2:021_01_A1_1,45
124,2019-5-28_exp021#2:021_01_A1_1,35
125,2019-5-28_exp021#2:021_01_A1_1,12
126,2019-5-28_exp021#2:021_01_A1_1,152
127,2019-5-28_exp021#2:021_01_A1_1,9
128,2019-5-28_exp021#2:021_01_A1_1,9
129,2019-5-28_exp021#2:021_01_A1_1,17
130,2019-5-28_exp021#2:021_01_A1_1,40
131,2019-5-28_exp021#2:021_01_A1_1,26
132,2019-5-28_exp021#2:021_01_A1_1,14
133,2019-5-28_exp021#2:021_01_A1_1,17
134,2019-5-28_exp021#2:021_01_A1_1,21
135,2019-5-28_exp021#2:021_01_A1_1,18
136,2019-5-28_exp021#2:021_01_A1_1,10
137,2019-5-28_exp021#2:021_01_A1_1,13
138,2019-5-28_exp021#2:021_01_A1_1,21
139,2019-5-28_exp021#2:021_01_A1_1,13
140,2019-5-28_exp021#2:021_01_A1_1,17
141,2019-5-28_exp021#2:021_01_A1_1,25
142,2019-5-28_exp021#2:021_01_A1_1,27
143,2019-5-28_exp021#2:021_01_A1_1,21
144,2019-5-28_exp021#2:021_01_A1_1,12
145,2019-5-28_exp021#2:021_01_A1_1,29
146,2019-5-28_exp021#2:021_01_A1_1,21
147,2019-5-28_exp021#2:021_01_A1_1,18
148,2019-5-28_exp021#2:021_01_A1_1,29
149,2019-5-28_exp021#2:021_01_A1_1,9
150,2019-5-28_exp021#2:021_01_A1_1,13
151,2019-5-28_exp021#2:021_01_A1_1,17
152,2019-5-28_exp021#2:021_01_A1_1,17
153,2019-5-28_exp021#2:021_01_A1_1,11
154,2019-5-28_exp021#2:021_01_A1_1,68
155,2019-5-28_exp021#2:021_01_A1_1,32
156,2019-5-28_exp021#2:021_01_A1_1,13
157,2019-5-28_exp021#2:021_01_A1_1,214
158,2019-5-28_exp021#2:021_01_A1_1,37
159,2019-5-28_exp021#2:021_01_A1_1,55
160,2019-5-28_exp021#2:021_01_A1_1,15
161,2019-5-28_exp021#2:021_01_A1_1,25
162,2019-5-28_exp021#2:021_01_A1_1,28
163,2019-5-28_exp021#2:021_01_A1_1,22
164,2019-5-28_exp021#2:021_01_A1_1,114
165,2019-5-28_exp021#2:021_01_A1_1,16
166,2019-5-28_exp021#2:021_01_A1_1,18
167,2019-5-28_exp021#2:021_01_A1_1,23
168,2019-5-28_exp021#2:021_01_A1_1,13
169,2019-5-28_exp021#2:021_01_A1_1,7
170,2019-5-28_exp021#2:021_01_A1_1,23
171,2019-5-28_exp021#2:021_01_A1_1,45
172,2019-5-28_exp021#2:021_01_A1_1,11
173,2019-5-28_exp021#2:021_01_A1_1,2
174,2019-5-28_exp021#2:021_01_A1_1,12
175,2019-5-28_exp021#2:021_01_A1_1,21
176,2019-5-28_exp021#2:021_01_A1_1,48
177,2019-5-28_exp021#2:021_01_A1_1,44
178,2019-5-28_exp021#2:021_01_A1_1,14
179,2019-5-28_exp021#2:021_01_A1_1,15
180,2019-5-28_exp021#2:021_01_A1_1,20
181,2019-5-28_exp021#2:021_01_A1_1,996
182,2019-5-28_exp021#2:021_01_A1_1,8
183,2019-5-28_exp021#2:021_01_A1_1,7
184,2019-5-28_exp021#2:021_01_A1_1,15
185,2019-5-28_exp021#2:021_01_A1_1,28
186,2019-5-28_exp021#2:021_01_A1_1,12
187,2019-5-28_exp021#2:021_01_A1_1,22
188,2019-5-28_exp021#2:021_01_A1_1,4
189,2019-5-28_exp021#2:021_01_A1_1,9
190,2019-5-28_exp021#2:021_01_A1_1,10
191,2019-5-28_exp021#2:021_01_A1_1,4
